Date,Price
31-01-96,66966.65409
29-02-96,67177.5641
31-03-96,68413.79949
30-04-96,69567.80039
31-05-96,69580.9955
30-06-96,69024.24335
31-07-96,69290.33169
31-08-96,68251.71387
30-09-96,68521.77559
31-10-96,68399.65401
30-11-96,67983.80536
31-12-96,67740.5502
31-01-97,67812.18068
28-02-97,70826.38712
31-03-97,69386.22197
30-04-97,69266.6529
31-05-97,69787.62484
30-06-97,69103.80644
31-07-97,69289.00974
31-08-97,70002.31417
30-09-97,69555.34971
31-10-97,67468.62227
30-11-97,70084.83519
31-12-97,70903.90641
31-01-98,69103.51997
28-02-98,69788.94711
31-03-98,70095.68685
30-04-98,71694.53257
31-05-98,71267.98035
30-06-98,72860.56039
31-07-98,71916.18096
31-08-98,71891.46476
30-09-98,72868.08662
31-10-98,73250.61349
30-11-98,73080.29019
31-12-98,73592.46543
31-01-99,73061.45117
28-02-99,72189.59744
31-03-99,73544.40505
30-04-99,73604.92186
31-05-99,72974.48972
30-06-99,72881.59705
31-07-99,72684.8091
31-08-99,73377.43576
30-09-99,73683.17576
31-10-99,74259.22907
30-11-99,75106.88046
31-12-99,74179.16017
31-01-00,75123.01813
29-02-00,75023.34266
31-03-00,75035.76677
30-04-00,75428.37202
31-05-00,76631.13929
30-06-00,76974.13615
31-07-00,78183.83392
31-08-00,76815.75234
30-09-00,77431.5918
31-10-00,79419.09834
30-11-00,78976.85019
31-12-00,79680.1574
31-01-01,79549.99505
28-02-01,80490.7924
31-03-01,79092.36933
30-04-01,79498.53022
31-05-01,79087.27929
30-06-01,77351.06041
31-07-01,78432.27732
31-08-01,80701.35156
30-09-01,78727.24969
31-10-01,78204.22369
30-11-01,78198.90356
31-12-01,79315.14128
31-01-02,79959.15138
28-02-02,79343.91365
31-03-02,80841.87777
30-04-02,79907.48063
31-05-02,80154.60675
30-06-02,80599.60432
31-07-02,81628.14791
31-08-02,81171.06953
30-09-02,82808.76922
31-10-02,82291.24227
30-11-02,83595.1675
31-12-02,83589.78331
31-01-03,82791.24543
28-02-03,83392.93843
31-03-03,84221.67803
30-04-03,85129.35896
31-05-03,85830.03349
30-06-03,87110.12335
31-07-03,87971.20663
31-08-03,88655.30957
30-09-03,89663.9888
31-10-03,91022.94286
30-11-03,91702.31907
31-12-03,92465.3971
31-01-04,93923.86495
29-02-04,94630.91503
31-03-04,96102.85577
30-04-04,96718.35064
31-05-04,96763.10038
30-06-04,97388.97836
31-07-04,97471.56726
31-08-04,97591.86515
30-09-04,98222.34843
31-10-04,97993.69609
30-11-04,97196.69638
31-12-04,96822.69464
31-01-05,96745.90597
28-02-05,96783.93596
31-03-05,98021.22425
30-04-05,98522.64843
31-05-05,98531.07021
30-06-05,99707.16955
31-07-05,100191.538
31-08-05,103708.3252
30-09-05,104828.0539
31-10-05,105674.9249
30-11-05,107357.2967
31-12-05,108333.4161
31-01-06,108858.9406
28-02-06,111432.4274
31-03-06,110482.2191
30-04-06,111417.3074
31-05-06,111792.93
30-06-06,113492.605
31-07-06,115051.6176
31-08-06,116033.2358
30-09-06,118182.4849
31-10-06,118960.4885
30-11-06,119754.2999
31-12-06,118529.3934
31-01-07,119742.5002
28-02-07,119056.3749
31-03-07,120398.7935
30-04-07,120834.4234
31-05-07,121709.5086
30-06-07,120182.6989
31-07-07,121030.9725
31-08-07,119795.7916
30-09-07,121803.5891
31-10-07,120373.3999
30-11-07,120381.6181
31-12-07,120785.4433
31-01-08,118592.9222
29-02-08,120001.6005
31-03-08,120274.5622
30-04-08,122262.8368
31-05-08,125138.0352
30-06-08,122554.1725
31-07-08,121051.0632
31-08-08,118323.7281
30-09-08,120858.7737
31-10-08,124366.5979
30-11-08,122614.3355
31-12-08,120308.9336
31-01-09,119543.6085
28-02-09,118144.9431
31-03-09,115909.8212
30-04-09,116190.9283
31-05-09,116284.1663
30-06-09,120865.119
31-07-09,107973.5529
31-08-09,113437.8143
30-09-09,113403.7178
31-10-09,112220.5489
30-11-09,111852.6476
31-12-09,112902.9713
31-01-10,114710.8883
28-02-10,115321.4623
31-03-10,116662.1462
30-04-10,114530.8595
31-05-10,115557.5282
30-06-10,116310.8244
31-07-10,115202.9244
31-08-10,115949.0521
30-09-10,113531.238
31-10-10,115659.3908
30-11-10,116516.2836
31-12-10,115124.2673
31-01-11,115299.6251
28-02-11,115932.0148
31-03-11,114152.8982
30-04-11,113589.0488
31-05-11,112047.5045
30-06-11,113432.743
31-07-11,114207.7934
31-08-11,114738.3515
30-09-11,115820.2286
31-10-11,116913.1277
30-11-11,116721.8906
31-12-11,116681.9877
31-01-12,115107.4115
29-02-12,112796.3178
31-03-12,121334.7482
30-04-12,121942.4596
31-05-12,123533.0261
30-06-12,123835.2235
31-07-12,118256.469
31-08-12,118434.4291
30-09-12,118715.7765
31-10-12,116360.8739
30-11-12,119851.759
31-12-12,122131.5982
31-01-13,128920.2976
28-02-13,129902.476
31-03-13,130326.7316
30-04-13,129164.0071
31-05-13,128427.8549
30-06-13,128548.8739
31-07-13,129775.2718
31-08-13,130110.6854
30-09-13,130158.9516
31-10-13,130774.161
30-11-13,129369.9605
31-12-13,127972.4114
31-01-14,127476.1141
28-02-14,126400.4821
31-03-14,126895.7711
30-04-14,124089.1377
31-05-14,125100.4811
30-06-14,125085.7264
31-07-14,125372.7193
31-08-14,124006.196
30-09-14,124452.3918
31-10-14,124700.722
30-11-14,122948.7877
31-12-14,122063.9197
31-01-15,119995.4078
28-02-15,121492.7176
31-03-15,122784.6417
30-04-15,126030.6025
31-05-15,128603.0573
30-06-15,129528.7407
31-07-15,130755.3425
31-08-15,131616.4251
30-09-15,130013.9251
31-10-15,131182.1162
30-11-15,132350.6412
31-12-15,131413.9171
31-01-16,133192.6347
29-02-16,131894.5215
31-03-16,131616.6657
30-04-16,130585.292
31-05-16,132065.5895
30-06-16,133028.4288
31-07-16,131399.7529
31-08-16,130373.5782
30-09-16,130870.3539
31-10-16,132555.7361
30-11-16,133213.2074
31-12-16,133749.7805
31-01-17,132778.9057
28-02-17,132942.4613
31-03-17,133947.7852
30-04-17,134692.8049
31-05-17,135613.4318
30-06-17,135079.8255
31-07-17,136788.5788
31-08-17,136864.4847
30-09-17,136144.1107
31-10-17,136309.1317
30-11-17,136432.0737
31-12-17,140093.3196
31-01-18,140728.7041
28-02-18,140204.8136
31-03-18,143047.6125
30-04-18,142785.8554
31-05-18,143630.9426
30-06-18,146391.2315
31-07-18,147059.6152
31-08-18,146415.9586
30-09-18,147972.2312
31-10-18,145984.4498
30-11-18,146791.8903
31-12-18,147043.4867
31-01-19,148729.3161
28-02-19,148682.7004
31-03-19,149769.2755
30-04-19,151063.2494
31-05-19,151181.4986
30-06-19,150114.9433
31-07-19,150586.9766
31-08-19,153335.6432
30-09-19,155216.5447
31-10-19,154739.5391
30-11-19,154866.9303
31-12-19,154909.4988
31-01-20,154992.6682
29-02-20,160453.978
31-03-20,163059.8424
30-04-20,164832.3196
31-05-20,165929.7764
30-06-20,164778.0769
31-07-20,165012.2512
31-08-20,166720.4556
30-09-20,168177.4128
31-10-20,171474.8174
30-11-20,173528.0472
31-12-20,173764.2765
31-01-21,174740.9143
28-02-21,178150.3271
31-03-21,181122.9643
30-04-21,184671.4654
31-05-21,191241.3836
30-06-21,199851.5441
31-07-21,204857.8721
31-08-21,209258.7811
30-09-21,209650.8781
31-10-21,213003.5464
30-11-21,214673.2388
31-12-21,217893.3096
31-01-22,221013.152
28-02-22,224594.0072
31-03-22,227030.3463
30-04-22,230416.4172
31-05-22,234536.7737
30-06-22,237525.5506
